Major Category,Number of Items,Total Score,Total Time Taken,Average CRI,CRI Criteria
5,9,1,236,1.4,Does not understand
3,9,7,676,2.3,Does not understand
4,9,3,298,1.4,Does not understand
5,9,7,675,2.3,Does not understand
3,9,6,397,2.8,Misconception
4,9,6,434,2.0,Does not understand
7,9,5,246,0.8,Does not understand
2,9,5,345,1.8,Does not understand
7,9,2,365,1.8,Does not understand
6,9,5,204,0.0,Does not understand
7,9,3,191,1.1,Does not understand
5,9,4,376,0.9,Does not understand
5,9,1,408,2.2,Does not understand
2,9,8,8,2.2,Does not understand
3,9,6,223,2.1,Does not understand
8,9,2,173,0.6,Does not understand
6,9,3,512,1.7,Does not understand
7,9,7,662,1.5,Does not understand
2,9,3,146,2.0,Does not understand
5,9,5,804,1.9,Does not understand
9,9,2,312,2.7,Misconception
4,9,4,362,1.4,Does not understand
9,9,2,278,1.4,Does not understand
8,9,2,161,0.1,Does not understand
6,9,4,427,2.1,Does not understand
3,9,8,43,2.8,Understand
6,9,4,970,2.1,Does not understand
6,9,6,146,3.2,Misconception
6,9,8,204,3.8,Understand
3,9,5,208,3.2,Misconception
7,9,6,495,1.2,Does not understand
2,9,5,340,1.4,Does not understand
5,9,4,818,1.9,Does not understand
5,9,7,808,1.6,Does not understand
6,9,6,325,0.8,Does not understand
8,9,5,808,2.2,Does not understand
4,9,4,210,2.4,Does not understand
7,9,4,293,1.3,Does not understand
4,9,5,625,2.3,Does not understand
6,9,3,331,1.3,Does not understand
7,9,7,431,2.2,Does not understand
6,9,3,547,0.6,Does not understand
2,9,4,193,1.2,Does not understand
4,9,3,558,4.2,Misconception
2,9,5,322,1.2,Does not understand
4,9,5,570,2.0,Does not understand
4,9,6,449,2.3,Does not understand
2,9,2,586,1.1,Does not understand
7,9,6,818,2.0,Does not understand
6,9,2,316,1.7,Does not understand
4,9,3,237,4.2,Misconception
1,9,3,790,2.0,Does not understand
5,9,3,60,2.8,Misconception
4,9,7,190,4.1,Understand
2,9,5,791,2.8,Misconception
6,9,7,217,3.3,Understand
5,9,1,372,1.3,Does not understand
5,9,1,307,1.9,Does not understand
9,9,3,102,3.4,Misconception
4,9,4,442,1.9,Does not understand
3,9,5,412,1.9,Does not understand
8,9,5,225,2.2,Does not understand
7,9,3,93,1.5,Does not understand
9,9,1,600,1.6,Does not understand
8,9,9,472,4.0,Understand
6,9,4,927,2.2,Does not understand
2,9,2,122,0.4,Does not understand
6,9,3,135,2.6,Misconception
8,9,3,282,1.6,Does not understand
9,9,8,205,3.7,Understand
8,9,5,307,0.2,Does not understand
7,9,9,221,2.4,Does not understand
9,9,2,850,1.7,Does not understand
3,9,5,414,2.8,Misconception
7,9,6,102,1.7,Does not understand
1,9,5,457,4.4,Misconception
9,9,3,264,2.2,Does not understand
9,9,2,314,0.2,Does not understand
5,9,6,210,4.2,Misconception
7,9,6,220,2.5,Does not understand
1,9,4,634,2.1,Does not understand
9,9,1,154,1.2,Does not understand
8,9,1,119,0.4,Does not understand
7,9,6,738,1.2,Does not understand
9,9,4,489,3.7,Misconception
4,9,5,230,2.8,Misconception
9,9,2,67,2.8,Misconception
6,9,6,826,2.0,Does not understand
2,9,4,185,1.0,Does not understand
6,9,5,494,2.1,Does not understand
6,9,9,172,3.7,Understand
9,9,1,343,1.7,Does not understand
5,9,3,269,0.8,Does not understand
6,9,3,835,2.1,Does not understand
1,9,7,881,1.7,Does not understand
6,9,4,29,1.3,Does not understand
6,9,3,645,0.3,Does not understand
1,9,6,1013,3.1,Misconception
3,9,5,334,2.4,Does not understand
9,9,6,211,2.6,Misconception
9,9,5,235,1.3,Does not understand
3,9,6,239,2.2,Does not understand
7,9,2,87,0.6,Does not understand
1,9,5,358,2.4,Does not understand
2,9,4,164,1.0,Does not understand
6,9,6,147,3.3,Misconception
7,9,5,174,2.2,Does not understand
5,9,3,286,2.7,Misconception
5,9,8,619,2.3,Does not understand
2,9,4,855,2.3,Does not understand
8,9,8,490,2.7,Understand
3,9,7,555,3.9,Understand
2,9,7,379,2.6,Understand
5,9,5,177,1.9,Does not understand
1,9,8,813,2.7,Understand
9,9,9,669,2.3,Does not understand
4,9,5,533,2.6,Misconception
2,9,7,270,1.8,Does not understand
2,9,2,150,0.3,Does not understand
8,9,1,151,0.7,Does not understand
9,9,4,466,1.8,Does not understand
2,9,7,396,2.1,Does not understand
4,9,5,394,2.3,Does not understand
7,9,4,453,1.4,Does not understand
6,9,4,500,1.7,Does not understand
3,9,7,255,4.6,Understand
2,9,5,273,1.4,Does not understand
3,9,6,367,3.4,Misconception
6,9,8,143,3.4,Understand
4,9,5,291,2.8,Misconception
4,9,3,176,0.6,Does not understand
3,9,4,132,1.0,Does not understand
8,9,3,255,1.0,Does not understand
9,9,5,202,2.4,Does not understand
5,9,7,279,2.7,Understand
1,9,5,450,1.8,Does not understand
9,9,4,576,2.0,Does not understand
1,9,7,614,2.4,Does not understand
2,9,3,538,1.1,Does not understand
7,9,1,97,1.5,Does not understand
4,9,8,155,4.2,Understand
6,9,7,846,3.3,Understand
7,9,4,471,1.5,Does not understand
8,9,8,718,2.2,Does not understand
7,9,7,462,1.3,Does not understand
5,9,9,200,2.0,Does not understand
6,9,4,832,2.0,Does not understand
2,9,8,315,3.9,Understand
5,9,6,329,1.9,Does not understand
3,9,3,611,2.4,Does not understand
7,9,7,291,2.1,Does not understand
1,9,5,942,3.7,Misconception
1,9,7,656,3.9,Understand
4,9,6,760,2.0,Does not understand
4,9,4,749,1.0,Does not understand
5,9,5,347,2.9,Misconception
3,9,8,448,3.3,Understand
8,9,1,138,2.8,Misconception
8,9,8,201,3.6,Understand
5,9,5,573,3.3,Misconception
9,9,4,380,1.6,Does not understand
8,9,5,191,2.9,Misconception
8,9,4,341,1.3,Does not understand
8,9,6,727,1.2,Does not understand
5,9,5,369,2.3,Does not understand
5,9,7,353,2.0,Does not understand
8,9,7,177,2.8,Understand
4,9,8,387,2.2,Does not understand
1,9,2,234,1.8,Does not understand
4,9,8,581,2.2,Does not understand
2,9,4,207,2.2,Does not understand
5,9,6,804,3.0,Misconception
2,9,4,104,1.1,Does not understand
2,9,3,896,2.4,Does not understand
8,9,6,470,2.6,Misconception
1,9,4,281,2.8,Misconception
4,9,8,364,2.2,Does not understand
2,9,6,229,3.1,Misconception
8,9,9,538,2.3,Does not understand
6,9,3,575,2.0,Does not understand
1,9,8,734,3.6,Understand
3,9,5,533,3.4,Misconception
2,9,8,165,1.4,Does not understand
6,9,4,468,2.9,Misconception
7,9,5,355,2.3,Does not understand
5,9,6,672,2.7,Misconception
8,9,4,80,3.6,Misconception
5,9,7,324,2.0,Does not understand
1,9,7,354,3.2,Understand
8,9,5,268,1.4,Does not understand
1,9,8,430,2.7,Understand
3,9,8,438,3.6,Understand
6,9,3,124,2.7,Misconception
5,9,1,422,0.2,Does not understand
7,9,5,296,1.6,Does not understand
6,9,7,332,2.2,Does not understand
7,9,3,163,1.5,Does not understand
1,9,5,575,1.4,Does not understand
3,9,8,557,4.8,Understand
6,9,7,562,3.1,Understand
4,9,7,386,2.2,Does not understand
3,9,5,397,2.1,Does not understand
7,9,3,359,0.4,Does not understand
1,9,8,548,1.6,Does not understand
9,9,3,168,0.3,Does not understand
9,9,6,383,3.3,Misconception
4,9,2,126,0.7,Does not understand
2,9,3,344,1.6,Does not understand
1,9,8,869,2.8,Understand
1,9,6,217,1.7,Does not understand
8,9,7,226,2.1,Does not understand
6,9,2,590,0.2,Does not understand
3,9,4,254,1.2,Does not understand
3,9,5,368,3.8,Misconception
1,9,6,840,3.8,Misconception
6,9,7,174,1.3,Does not understand
2,9,5,431,1.0,Does not understand
3,9,4,260,3.4,Misconception
1,9,8,752,3.7,Understand
1,9,8,996,3.9,Understand
1,9,1,287,2.7,Misconception
6,9,4,804,0.4,Does not understand
6,9,6,221,2.7,Misconception
9,9,3,131,0.8,Does not understand
3,9,3,172,2.3,Does not understand
4,9,7,349,2.1,Does not understand
8,9,8,318,3.9,Understand
5,9,1,129,2.6,Misconception
6,9,4,527,1.4,Does not understand
4,9,3,496,2.0,Does not understand
2,9,9,374,4.1,Understand
4,9,4,57,3.7,Misconception
8,9,9,118,1.9,Does not understand
6,9,4,244,2.2,Does not understand
8,9,8,145,3.0,Understand
3,9,6,382,2.9,Misconception
8,9,5,434,2.0,Does not understand
4,9,4,235,1.8,Does not understand
8,9,5,117,3.0,Misconception
4,9,5,73,2.0,Does not understand
2,9,4,222,0.8,Does not understand
7,9,3,267,1.1,Does not understand
8,9,6,790,3.9,Misconception
4,9,4,305,1.4,Does not understand
7,9,8,195,1.3,Does not understand
2,9,6,510,1.7,Does not understand
7,9,2,482,1.1,Does not understand
1,9,5,906,2.0,Does not understand
1,9,7,221,3.0,Understand
1,9,4,914,2.9,Misconception
5,9,5,144,2.8,Misconception
9,9,9,277,2.6,Understand
1,9,6,1020,2.0,Does not understand
5,9,2,800,1.6,Does not understand
6,9,3,415,1.7,Does not understand
9,9,2,55,2.3,Does not understand
8,9,7,269,2.0,Does not understand
5,9,8,268,3.4,Understand
1,9,5,536,2.2,Does not understand
5,9,2,660,3.1,Misconception
8,9,3,466,2.3,Does not understand
3,9,7,362,3.2,Understand
2,9,4,171,2.3,Does not understand
1,9,5,534,2.0,Does not understand
7,9,7,166,0.8,Does not understand
7,9,6,257,1.6,Does not understand
4,9,2,253,2.9,Misconception
5,9,6,319,2.6,Misconception
9,9,3,141,3.2,Misconception
6,9,8,855,2.3,Does not understand
6,9,4,40,2.0,Does not understand
5,9,3,584,1.0,Does not understand
7,9,4,259,0.4,Does not understand
2,9,5,487,1.3,Does not understand
6,9,9,320,4.2,Understand
7,9,4,935,0.8,Does not understand
2,9,9,837,2.2,Does not understand
8,9,5,195,2.0,Does not understand
9,9,3,206,1.4,Does not understand
9,9,5,125,1.8,Does not understand
2,9,4,297,1.6,Does not understand
9,9,8,184,1.9,Does not understand
9,9,7,718,2.4,Does not understand
7,9,7,571,1.6,Does not understand
8,9,1,60,2.0,Does not understand
9,9,5,507,1.1,Does not understand
9,9,5,484,2.1,Does not understand
7,9,7,709,1.8,Does not understand
2,9,5,96,4.0,Misconception
5,9,3,597,2.1,Does not understand
1,9,1,935,3.9,Misconception
7,9,4,780,0.7,Does not understand
4,9,6,349,3.8,Misconception
1,9,3,411,2.3,Does not understand
5,9,2,227,1.4,Does not understand
5,9,1,79,2.0,Does not understand
4,9,3,497,3.3,Misconception
2,9,4,347,1.1,Does not understand
2,9,4,342,1.9,Does not understand
1,9,7,831,1.8,Does not understand
1,9,7,345,2.6,Understand
5,9,5,328,2.2,Does not understand
4,9,3,196,3.4,Misconception
2,9,4,182,0.3,Does not understand
7,9,6,240,1.2,Does not understand
6,9,6,178,0.1,Does not understand
4,9,5,408,2.3,Does not understand
9,9,8,469,2.7,Understand
2,9,6,326,1.3,Does not understand
6,9,4,161,1.7,Does not understand
6,9,4,161,2.6,Misconception
7,9,6,188,1.9,Does not understand
9,9,1,293,2.3,Does not understand
5,9,4,517,1.8,Does not understand
5,9,1,397,1.1,Does not understand
9,9,5,381,1.4,Does not understand
4,9,7,436,2.9,Understand
9,9,2,108,1.8,Does not understand
8,9,2,346,1.3,Does not understand
4,9,4,217,2.1,Does not understand
8,9,3,94,1.8,Does not understand
3,9,6,618,2.4,Does not understand
4,9,7,442,3.2,Understand
3,9,6,328,3.9,Misconception
6,9,8,186,1.4,Does not understand
7,9,4,133,1.0,Does not understand
9,9,8,663,2.9,Understand
4,9,5,265,1.6,Does not understand
1,9,5,281,2.9,Misconception
1,9,5,263,2.8,Misconception
3,9,9,493,4.1,Understand
1,9,6,952,3.2,Misconception
7,9,5,935,1.6,Does not understand
7,9,4,848,1.0,Does not understand
5,9,6,619,2.0,Does not understand
1,9,4,290,2.6,Misconception
9,9,3,175,2.8,Misconception
9,9,1,132,0.0,Does not understand
2,9,4,157,0.8,Does not understand
3,9,7,355,2.6,Understand
6,9,7,193,1.8,Does not understand
2,9,5,128,2.1,Does not understand
7,9,7,292,1.8,Does not understand
9,9,6,155,2.6,Misconception
7,9,4,47,0.2,Does not understand
2,9,3,98,1.6,Does not understand
2,9,6,124,2.0,Does not understand
2,9,6,280,1.7,Does not understand
6,9,0,260,2.6,Misconception
5,9,2,274,0.0,Does not understand
5,9,5,613,2.2,Does not understand
5,9,5,385,2.7,Misconception
7,9,9,948,1.8,Does not understand
6,9,3,229,3.1,Misconception
1,9,3,336,2.7,Misconception
1,9,7,425,2.7,Understand
2,9,8,218,3.7,Understand
3,9,5,459,1.6,Does not understand
2,9,6,469,1.3,Does not understand
4,9,5,237,2.4,Does not understand
8,9,5,149,1.9,Does not understand
3,9,8,804,3.3,Understand
4,9,3,299,2.4,Does not understand
9,9,7,208,2.8,Understand
5,9,5,776,2.1,Does not understand
1,9,1,208,2.8,Misconception
6,9,2,365,0.7,Does not understand
8,9,3,116,1.8,Does not understand
1,9,4,74,1.3,Does not understand
7,9,4,81,1.8,Does not understand
6,9,6,99,1.8,Does not understand
3,9,2,235,3.1,Misconception
9,9,4,839,2.3,Does not understand
2,9,5,577,2.4,Does not understand
3,9,8,436,3.3,Understand
1,9,6,261,3.0,Misconception
3,9,6,518,2.3,Does not understand
1,9,2,841,2.1,Does not understand
3,9,7,326,2.4,Does not understand
2,9,4,154,0.8,Does not understand
2,9,4,527,1.9,Does not understand
9,9,9,183,3.0,Understand
4,9,2,173,3.0,Misconception
9,9,5,390,2.0,Does not understand
4,9,2,312,2.7,Misconception
8,9,3,68,0.0,Does not understand
6,9,7,110,2.0,Does not understand
1,9,4,878,2.8,Misconception
5,9,5,343,1.8,Does not understand
4,9,6,608,1.6,Does not understand
1,9,6,705,2.1,Does not understand
4,9,2,248,2.0,Does not understand
9,9,4,496,3.0,Misconception
8,9,6,287,2.0,Does not understand
7,9,4,174,1.4,Does not understand
7,9,4,230,1.4,Does not understand
4,9,5,549,1.4,Does not understand
7,9,1,165,1.4,Does not understand
5,9,2,200,1.6,Does not understand
1,9,7,830,2.4,Does not understand
3,9,6,932,4.0,Misconception
1,9,3,711,1.0,Does not understand
6,9,3,447,3.1,Misconception
1,9,7,646,2.7,Understand
2,9,3,94,2.3,Does not understand
1,9,7,514,3.0,Understand
8,9,2,540,3.3,Misconception
4,9,2,148,1.9,Does not understand
3,9,7,422,2.9,Understand
6,9,3,352,1.1,Does not understand
1,9,4,861,3.2,Misconception
4,9,8,597,1.7,Does not understand
9,9,4,243,1.0,Does not understand
8,9,3,208,1.7,Does not understand
3,9,7,435,3.0,Understand
4,9,5,325,0.2,Does not understand
4,9,4,513,1.8,Does not understand
1,9,5,735,2.3,Does not understand
5,9,8,924,3.0,Understand
8,9,4,503,1.1,Does not understand
2,9,3,249,2.7,Misconception
7,9,8,351,1.5,Does not understand
6,9,7,933,2.1,Does not understand
4,9,8,519,2.6,Understand
5,9,5,198,2.2,Does not understand
5,9,5,526,1.1,Does not understand
6,9,5,194,2.8,Misconception
8,9,7,252,1.8,Does not understand
4,9,7,509,2.1,Does not understand
2,9,7,270,0.0,Does not understand
3,9,6,379,3.4,Misconception
1,9,7,539,2.4,Does not understand
6,9,3,305,1.4,Does not understand
3,9,6,529,2.4,Does not understand
9,9,6,277,2.1,Does not understand
6,9,6,233,1.6,Does not understand
4,9,6,268,2.4,Does not understand
1,9,5,764,1.7,Does not understand
6,9,3,629,2.2,Does not understand
9,9,2,176,2.7,Misconception
2,9,9,350,2.3,Does not understand
4,9,6,529,1.8,Does not understand
9,9,9,237,2.3,Does not understand
1,9,7,992,1.9,Does not understand
2,9,5,212,1.4,Does not understand
8,9,3,233,2.4,Does not understand
3,9,6,533,3.1,Misconception
9,9,3,381,0.0,Does not understand
9,9,4,183,2.4,Does not understand
9,9,3,199,1.8,Does not understand
3,9,3,714,1.3,Does not understand
4,9,5,384,2.4,Does not understand
3,9,4,161,2.8,Misconception
5,9,4,301,3.4,Misconception
8,9,8,697,2.1,Does not understand
5,9,7,234,3.9,Understand
5,9,2,242,2.2,Does not understand
3,9,9,239,3.8,Understand
3,9,7,1020,1.2,Does not understand
3,9,6,589,3.0,Misconception
7,9,4,289,0.9,Does not understand
3,9,6,501,2.2,Does not understand
7,9,5,825,1.8,Does not understand
8,9,6,513,3.0,Misconception
8,9,7,497,2.1,Does not understand
2,9,7,209,2.1,Does not understand
2,9,4,153,1.9,Does not understand
4,9,7,305,3.1,Understand
3,9,5,193,2.3,Does not understand
6,9,9,254,2.6,Understand
5,9,6,146,2.8,Misconception
3,9,6,275,2.1,Does not understand
6,9,3,468,2.1,Does not understand
3,9,7,238,3.1,Understand
8,9,1,91,2.0,Does not understand
5,9,3,542,2.9,Misconception
6,9,1,113,0.1,Does not understand
7,9,5,303,2.4,Does not understand
1,9,7,958,2.8,Understand
3,9,7,437,3.4,Understand
5,9,9,361,5.0,Understand
9,9,2,737,1.6,Does not understand
6,9,5,932,1.3,Does not understand
3,9,5,346,2.2,Does not understand
1,9,4,627,2.6,Misconception
4,9,5,646,2.4,Does not understand
1,9,3,690,2.3,Does not understand
8,9,0,407,2.9,Misconception
6,9,4,277,1.2,Does not understand
8,9,4,303,1.8,Does not understand
4,9,4,186,2.3,Does not understand
8,9,7,308,3.0,Understand
1,9,8,423,3.1,Understand
3,9,7,354,4.0,Understand
1,9,5,282,3.9,Misconception
8,9,4,518,1.7,Does not understand
2,9,6,406,2.2,Does not understand
1,9,6,396,3.0,Misconception
9,9,6,360,3.0,Misconception
3,9,5,160,0.6,Does not understand
2,9,4,430,2.2,Does not understand
4,9,6,781,2.0,Does not understand
1,9,5,91,3.6,Misconception
8,9,8,305,4.2,Understand
2,9,5,252,2.4,Does not understand
9,9,7,172,4.0,Understand
2,9,6,525,1.7,Does not understand
9,9,9,132,4.0,Understand
1,9,7,514,2.6,Understand
7,9,7,127,1.4,Does not understand
9,9,1,205,4.0,Misconception
4,9,4,170,2.4,Does not understand
6,9,3,557,1.4,Does not understand
7,9,5,345,1.1,Does not understand
3,9,5,883,2.4,Does not understand
7,9,6,199,1.7,Does not understand
3,9,4,429,4.3,Misconception
7,9,6,554,1.5,Does not understand
3,9,9,583,2.6,Understand
8,9,6,268,0.8,Does not understand
3,9,8,448,2.7,Understand
1,9,6,1020,3.1,Misconception
4,9,5,783,1.6,Does not understand
8,9,7,679,2.0,Does not understand
4,9,8,352,3.1,Understand
7,9,5,279,1.3,Does not understand
2,9,4,476,2.2,Does not understand
1,9,6,258,2.8,Misconception
9,9,2,39,2.2,Does not understand
3,9,9,399,4.1,Understand
8,9,3,816,1.7,Does not understand
2,9,4,236,1.6,Does not understand
2,9,4,362,1.7,Does not understand
7,9,4,118,1.3,Does not understand
3,9,3,667,2.1,Does not understand
7,9,1,350,0.9,Does not understand
4,9,5,332,1.6,Does not understand
6,9,4,254,1.7,Does not understand
5,9,7,248,0.3,Does not understand
3,9,4,688,1.4,Does not understand
7,9,5,339,1.5,Does not understand
8,9,6,203,3.2,Misconception
5,9,2,578,0.7,Does not understand
1,9,7,653,4.0,Understand
7,9,7,915,0.9,Does not understand
4,9,7,866,1.0,Does not understand
5,9,4,686,1.1,Does not understand
5,9,4,301,0.6,Does not understand
9,9,1,345,1.9,Does not understand
5,9,2,393,2.1,Does not understand
1,9,5,918,2.0,Does not understand
2,9,6,475,2.3,Does not understand
4,9,3,106,0.2,Does not understand
9,9,1,101,2.0,Does not understand
4,9,5,326,3.1,Misconception
6,9,1,87,1.2,Does not understand
8,9,4,288,1.2,Does not understand
1,9,5,192,2.4,Does not understand
1,9,5,1019,2.7,Misconception
8,9,2,127,3.1,Misconception
7,9,4,295,0.8,Does not understand
1,9,6,951,1.9,Does not understand
3,9,5,322,3.3,Misconception
9,9,2,359,1.9,Does not understand
9,9,6,202,3.3,Misconception
7,9,8,334,2.6,Understand
1,9,6,465,3.3,Misconception
8,9,4,297,1.7,Does not understand
3,9,9,570,2.8,Understand
2,9,2,105,2.8,Misconception
2,9,4,136,0.6,Does not understand
4,9,6,375,2.4,Does not understand
5,9,7,350,3.7,Understand
8,9,4,221,0.2,Does not understand
1,9,7,909,2.6,Understand
7,9,8,243,1.7,Does not understand
2,9,4,449,1.9,Does not understand
6,9,1,382,1.3,Does not understand
2,9,2,150,2.0,Does not understand
4,9,5,223,0.6,Does not understand
8,9,9,482,4.4,Understand
6,9,0,31,0.0,Does not understand
4,9,3,197,1.2,Does not understand
6,9,6,307,2.6,Misconception
7,9,6,300,2.6,Misconception
8,9,5,526,1.9,Does not understand
9,9,3,556,1.3,Does not understand
1,9,4,477,2.0,Does not understand
8,9,5,726,0.9,Does not understand
3,9,7,823,3.2,Understand
4,9,6,405,1.7,Does not understand
7,9,5,276,1.3,Does not understand
9,9,1,181,3.9,Misconception
8,9,6,181,1.1,Does not understand
6,9,2,471,0.0,Does not understand
6,9,3,372,3.0,Misconception
2,9,6,350,3.1,Misconception
3,9,4,406,2.8,Misconception
2,9,5,276,2.3,Does not understand
4,9,5,309,1.8,Does not understand
4,9,5,330,4.1,Misconception
5,9,7,533,2.0,Does not understand
5,9,4,856,2.7,Misconception
2,9,3,68,2.0,Does not understand
9,9,3,92,2.1,Does not understand
4,9,4,671,1.4,Does not understand
2,9,3,70,0.0,Does not understand
7,9,2,367,1.5,Does not understand
6,9,2,631,1.3,Does not understand
4,9,5,308,1.2,Does not understand
9,9,8,105,3.4,Understand
5,9,4,230,3.1,Misconception
7,9,7,383,1.1,Does not understand
7,9,4,324,0.9,Does not understand
8,9,2,220,0.1,Does not understand
5,9,4,859,1.4,Does not understand
6,9,6,656,2.6,Misconception
4,9,3,274,2.3,Does not understand
3,9,5,395,3.3,Misconception
9,9,1,162,2.6,Misconception
1,9,4,997,3.4,Misconception
2,9,2,162,0.8,Does not understand
1,9,5,738,2.7,Misconception
9,9,6,327,1.2,Does not understand
4,9,5,292,1.4,Does not understand
5,9,3,244,3.0,Misconception
2,9,7,401,2.8,Understand
1,9,5,467,1.8,Does not understand
7,9,6,284,1.2,Does not understand
8,9,2,406,0.6,Does not understand
6,9,3,88,1.7,Does not understand
7,9,5,268,0.3,Does not understand
8,9,3,556,1.1,Does not understand
5,9,1,64,0.0,Does not understand
3,9,6,296,2.6,Misconception
1,9,8,516,3.1,Understand
3,9,9,245,5.0,Understand
1,9,7,947,2.7,Understand
8,9,0,27,0.0,Does not understand
8,9,7,377,2.0,Does not understand
3,9,7,228,4.3,Understand
2,9,6,504,1.7,Does not understand
1,9,7,286,2.9,Understand
8,9,3,770,1.3,Does not understand
5,9,2,369,1.2,Does not understand
1,9,6,937,3.4,Misconception
7,9,5,344,1.6,Does not understand
1,9,5,338,3.9,Misconception
9,9,9,188,2.9,Understand
6,9,4,809,1.6,Does not understand
1,9,4,726,2.2,Does not understand
5,9,7,202,3.4,Understand
4,9,6,501,3.6,Misconception
3,9,5,398,2.2,Does not understand
3,9,8,462,3.8,Understand
9,9,4,289,2.2,Does not understand
2,9,7,134,3.1,Understand
3,9,7,396,3.3,Understand
7,9,2,637,1.3,Does not understand
9,9,5,678,3.0,Misconception
8,9,6,282,1.9,Does not understand
3,9,8,381,3.2,Understand
5,9,3,614,1.2,Does not understand
8,9,4,226,1.4,Does not understand
2,9,6,213,3.8,Misconception
7,9,5,374,1.6,Does not understand
7,9,2,100,0.7,Does not understand
